大餅,pancake-type flat bread,dàbĭng
油條,fried dough sticks,yóutiáo
包子,meat- or vegetable-filled buns,bāozi
饅頭,steamed (rather than baked) bread,mántou
豆漿,soy milk,dòujiāng
茶,tea,chá
咖啡,coffee,kāfēi
牛奶,milk,niúnăi
果汁,fruit juice,guŏzhī
蛋,egg(s),dàn
火腿,ham,huŏtuĭ
麵包,bread,miànbāo
麥片,oatmeal,màipiàn
豬肉,pork,zhūròu
牛肉,beef,niúròu
雞,chicken,jī
鴨,goose,yā
魚,fish,yú
蝦,shrimp,xiā
龍蝦,lobster,lóngxiā
海鮮,seafood,hăixiān
蔬菜,vegetables,shūcài
白菜,napa cabbage,báicài
豆腐,tofu,dòufu
番茄（Taiwan:西紅柿）,tomato,fānqié
白飯,white rice,báifàn
炒飯,fried rice,chăofàn
麵,noodles,miàn
湯,soup,tāng
蒸,steam,zhēng
煎,pan-fry,jiān
炒,stir-fry,chăo
炸,deep-fry,zhá
煮,boil,zhŭ
絲,shredded,sī
丁,cubed,dīng
片,sliced,piàn
塊,chunked/nuggets,kuài
苦瓜,bitter melon,kŭuguā
西瓜,watermelon,xīguā
